color,team_region,player_tag,core_shots,core_goals,core_saves,core_assists,core_score,core_shooting_percentage,positioning_avg_distance_to_ball,demo_inflicted,demo_taken,winner,car_name
blue,North America,Daniel,1,0,1,1,213,0.0,3146.0,1.0,0.0,TRUE,Fennec
orange,Europe,RelatingWave,2,1,1,0,359,50.0,2705.0,0.0,0.0,FALSE,Octane
orange,Europe,Archie,1,0,2,0,229,0.0,2722.0,0.0,1.0,FALSE,Fennec
orange,Europe,Metsanauris,1,0,0,1,206,0.0,2672.0,2.0,2.0,FALSE,Fast 4WD
blue,Oceania,Kamii,2,0,3,0,365,0.0,3014.0,0.0,0.0,FALSE,Octane
blue,Oceania,CJCJ,1,0,2,0,318,0.0,2800.0,0.0,1.0,FALSE,Fennec
blue,Oceania,Fever,3,0,3,0,297,0.0,2808.0,1.0,1.0,FALSE,Fennec
orange,North America,jstn.,5,1,0,0,368,20.0,2857.0,0.0,0.0,TRUE,Octane
orange,North America,Squishy,3,0,2,0,290,0.0,2918.0,1.0,0.0,TRUE,Octane
orange,North America,GarrettG,3,0,1,0,204,0.0,2836.0,1.0,1.0,TRUE,Fennec
blue,Oceania,CJCJ,4,0,2,1,382,0.0,3093.0,1.0,1.0,FALSE,Fennec
blue,Oceania,Kamii,0,0,2,0,271,0.0,3274.0,0.0,2.0,FALSE,Octane
blue,Oceania,Fever,0,1,1,0,249,0.0,3004.0,0.0,0.0,FALSE,Fennec
orange,North America,Squishy,4,3,1,1,656,75.0,3270.0,2.0,1.0,TRUE,Octane
orange,North America,jstn.,6,1,2,3,618,16.666666666666664,2904.0,0.0,0.0,TRUE,Octane
orange,North America,GarrettG,3,2,1,1,436,66.66666666666666,3032.0,1.0,0.0,TRUE,Fennec
blue,Oceania,Fever,3,1,3,0,479,33.33333333333333,3084.0,0.0,2.0,TRUE,Fennec
blue,Oceania,CJCJ,2,1,1,1,354,50.0,3276.0,0.0,1.0,TRUE,Fennec
blue,Oceania,Kamii,2,0,1,0,162,0.0,3171.0,1.0,0.0,TRUE,Octane
orange,North America,Squishy,2,0,3,0,311,0.0,2766.0,1.0,0.0,FALSE,Octane
orange,North America,jstn.,1,0,1,0,209,0.0,2883.0,1.0,1.0,FALSE,Octane
orange,North America,GarrettG,2,0,0,0,142,0.0,2948.0,1.0,0.0,FALSE,Fennec
blue,Oceania,CJCJ,2,2,5,0,647,100.0,3081.0,1.0,3.0,TRUE,Fennec
blue,Oceania,Kamii,1,1,4,1,545,100.0,2763.0,3.0,1.0,TRUE,Octane
blue,Oceania,Fever,1,0,1,2,258,0.0,2860.0,3.0,1.0,TRUE,Fennec
orange,North America,jstn.,7,0,1,2,340,0.0,3128.0,0.0,3.0,FALSE,Octane
orange,North America,GarrettG,5,1,0,0,290,20.0,2841.0,3.0,1.0,FALSE,Fennec
orange,North America,Squishy,2,1,0,0,186,50.0,3451.0,2.0,3.0,FALSE,Octane
blue,Oceania,Kamii,2,1,1,0,378,50.0,3132.0,0.0,1.0,FALSE,Octane
blue,Oceania,CJCJ,1,0,2,1,340,0.0,3206.0,0.0,0.0,FALSE,Fennec
blue,Oceania,Fever,2,0,0,0,110,0.0,2885.0,0.0,1.0,FALSE,Fennec
orange,North America,Squishy,4,1,3,1,526,25.0,3013.0,0.0,0.0,TRUE,Octane
orange,North America,GarrettG,2,1,1,0,352,50.0,2821.0,1.0,0.0,TRUE,Fennec
orange,North America,jstn.,1,0,0,0,176,0.0,3227.0,1.0,0.0,TRUE,Fennec
blue,Oceania,Fever,1,1,1,0,299,100.0,2528.0,2.0,1.0,FALSE,Fennec
blue,Oceania,CJCJ,1,0,2,1,292,0.0,3008.0,1.0,3.0,FALSE,Fennec
blue,Oceania,Kamii,4,0,1,0,210,0.0,2824.0,1.0,0.0,FALSE,Octane
orange,North America,jstn.,6,3,2,0,701,50.0,2583.0,1.0,1.0,TRUE,Fennec
orange,North America,Squishy,0,0,2,1,230,0.0,3359.0,2.0,2.0,TRUE,Octane
orange,North America,GarrettG,2,0,1,1,216,0.0,3021.0,1.0,1.0,TRUE,Fennec
blue,North America,BeastMode,3,3,1,0,529,100.0,2881.0,0.0,1.0,TRUE,Octane
blue,North America,Torment,0,0,2,2,345,0.0,3291.0,2.0,1.0,TRUE,Fennec
blue,North America,Comm,0,0,1,0,202,0.0,2936.0,4.0,1.0,TRUE,Octane
orange,North America,Daniel,3,1,0,0,286,33.33333333333333,2941.0,0.0,2.0,FALSE,Fennec
orange,North America,Arsenal,1,0,0,1,176,0.0,2778.0,3.0,1.0,FALSE,Octane
orange,North America,retals,1,0,0,0,106,0.0,2895.0,0.0,3.0,FALSE,Octane
blue,North America,BeastMode,3,1,2,0,454,33.33333333333333,2691.0,1.0,2.0,TRUE,Octane
blue,North America,Torment,0,0,1,0,208,0.0,3081.0,2.0,5.0,TRUE,Fennec
blue,North America,Comm,0,0,0,0,172,0.0,2915.0,1.0,0.0,TRUE,Octane
orange,North America,retals,2,0,1,0,226,0.0,2758.0,5.0,1.0,FALSE,Octane
orange,North America,Daniel,1,0,0,0,184,0.0,2974.0,0.0,1.0,FALSE,Octane
orange,North America,Arsenal,0,0,0,0,160,0.0,2956.0,2.0,2.0,FALSE,Octane
blue,North America,Torment,3,1,1,0,369,33.33333333333333,3119.0,0.0,1.0,FALSE,Fennec
blue,North America,BeastMode,5,0,1,1,313,0.0,2820.0,1.0,1.0,FALSE,Octane
blue,North America,Comm,1,0,0,0,112,0.0,2777.0,1.0,1.0,FALSE,Octane
orange,North America,Arsenal,4,1,3,0,548,25.0,2796.0,1.0,0.0,TRUE,Octane
orange,North America,retals,3,2,1,1,539,66.66666666666666,2613.0,2.0,2.0,TRUE,Octane
orange,North America,Daniel,0,0,3,0,282,0.0,3053.0,0.0,0.0,TRUE,Octane
blue,North America,Comm,2,0,1,0,224,0.0,2928.0,4.0,2.0,FALSE,Octane
blue,North America,BeastMode,4,0,1,0,207,0.0,2601.0,0.0,1.0,FALSE,Octane
blue,North America,Torment,0,0,2,0,154,0.0,2921.0,0.0,2.0,FALSE,Fennec
orange,North America,Daniel,2,1,1,0,326,50.0,2960.0,3.0,1.0,TRUE,Octane
orange,North America,retals,2,0,2,1,273,0.0,2776.0,1.0,0.0,TRUE,Octane
orange,North America,Arsenal,2,0,0,0,118,0.0,2950.0,1.0,3.0,TRUE,Octane
blue,North America,BeastMode,3,2,0,0,396,66.66666666666666,2500.0,3.0,2.0,TRUE,Octane
blue,North America,Comm,3,0,2,1,381,0.0,2615.0,1.0,0.0,TRUE,Octane
blue,North America,Torment,0,0,2,1,274,0.0,3314.0,2.0,0.0,TRUE,Fennec
orange,North America,Arsenal,3,1,1,0,317,33.33333333333333,2370.0,1.0,3.0,FALSE,Octane
orange,North America,retals,0,0,1,1,268,0.0,3030.0,1.0,2.0,FALSE,Octane
orange,North America,Daniel,2,0,1,0,226,0.0,2699.0,0.0,1.0,FALSE,Octane
blue,North America,BeastMode,4,2,1,0,491,50.0,2771.0,1.0,3.0,TRUE,Octane
blue,North America,Comm,3,0,1,2,390,0.0,2695.0,3.0,1.0,TRUE,Octane
blue,North America,Torment,1,0,4,0,388,0.0,2907.0,0.0,1.0,TRUE,Fennec
orange,North America,Daniel,2,1,3,0,448,50.0,2895.0,2.0,3.0,FALSE,Octane
orange,North America,retals,3,0,0,1,310,0.0,2675.0,1.0,1.0,FALSE,Octane
orange,North America,Arsenal,2,0,2,0,296,0.0,2766.0,2.0,0.0,FALSE,Octane
blue,Europe,ExoTiiK,2,2,2,0,472,100.0,2763.0,3.0,0.0,TRUE,Fennec
blue,Europe,Chausette45,1,1,1,1,321,100.0,2799.0,0.0,3.0,TRUE,Octane
blue,Europe,Kassio,1,1,0,1,316,100.0,2653.0,1.0,2.0,TRUE,Octane
orange,North America,jstn.,2,2,0,0,354,100.0,2920.0,1.0,1.0,FALSE,Octane
orange,North America,GarrettG,2,0,0,2,258,0.0,2806.0,2.0,1.0,FALSE,Fennec
orange,North America,Squishy,2,0,0,0,80,0.0,3380.0,2.0,2.0,FALSE,Octane
blue,Europe,ExoTiiK,4,1,2,1,425,25.0,2702.0,1.0,1.0,FALSE,Fennec
blue,Europe,Kassio,4,1,0,1,296,25.0,3256.0,1.0,0.0,FALSE,Octane
blue,Europe,Chausette45,3,0,1,0,264,0.0,2846.0,0.0,0.0,FALSE,Octane
orange,North America,GarrettG,3,2,2,1,567,66.66666666666666,2886.0,1.0,1.0,TRUE,Fennec
orange,North America,jstn.,3,1,2,1,463,33.33333333333333,2920.0,0.0,0.0,TRUE,Octane
orange,North America,Squishy,1,0,3,0,409,0.0,3511.0,0.0,1.0,TRUE,Octane
blue,Europe,ExoTiiK,4,0,1,0,238,0.0,2924.0,0.0,2.0,FALSE,Fennec
blue,Europe,Chausette45,1,0,2,0,208,0.0,2595.0,2.0,1.0,FALSE,Octane
blue,Europe,Kassio,2,0,0,0,130,0.0,2997.0,0.0,0.0,FALSE,Octane
orange,North America,Squishy,1,0,4,1,509,0.0,3663.0,1.0,1.0,TRUE,Octane
orange,North America,jstn.,3,1,1,1,428,33.33333333333333,2556.0,0.0,0.0,TRUE,Octane
orange,North America,GarrettG,2,1,2,0,344,50.0,3040.0,2.0,1.0,TRUE,Fennec
blue,Europe,Chausette45,3,1,2,0,346,33.33333333333333,2805.0,1.0,1.0,FALSE,Octane
blue,Europe,ExoTiiK,4,0,1,1,302,0.0,2744.0,1.0,0.0,FALSE,Fennec
blue,Europe,Kassio,1,0,0,0,152,0.0,2915.0,1.0,0.0,FALSE,Octane
